Direction,Year,Date,Weekday,Country,Commodity,Transport_Mode,Measure,Value,Cumulative
Exports,2015,22/02/2015,Sunday,All,All,All,$,135000000,6775000000
Exports,2015,23/02/2015,Monday,All,All,All,$,185000000,6960000000
Exports,2015,24/02/2015,Tuesday,All,All,All,$,94000000,7054000000
Exports,2015,25/02/2015,Wednesday,All,All,All,$,113000000,7166000000
Exports,2015,26/02/2015,Thursday,All,All,All,$,130000000,7297000000
Exports,2015,27/02/2015,Friday,All,All,All,$,127000000,7423000000
Exports,2015,28/02/2015,Saturday,All,All,All,$,145000000,7568000000
Exports,2015,01/03/2015,Sunday,All,All,All,$,386000000,7954000000
Exports,2015,02/03/2015,Monday,All,All,All,$,219000000,8173000000
Exports,2015,03/03/2015,Tuesday,All,All,All,$,163000000,8337000000
Exports,2015,04/03/2015,Wednesday,All,All,All,$,125000000,8462000000
Exports,2015,05/03/2015,Thursday,All,All,All,$,158000000,8621000000
Exports,2015,06/03/2015,Friday,All,All,All,$,153000000,8774000000
Exports,2015,07/03/2015,Saturday,All,All,All,$,174000000,8948000000
Exports,2015,08/03/2015,Sunday,All,All,All,$,112000000,9060000000
Exports,2015,09/03/2015,Monday,All,All,All,$,209000000,9269000000
Exports,2015,10/03/2015,Tuesday,All,All,All,$,118000000,9387000000
Exports,2015,11/03/2015,Wednesday,All,All,All,$,85000000,9473000000
Exports,2015,12/03/2015,Thursday,All,All,All,$,160000000,9633000000
Exports,2015,13/03/2015,Friday,All,All,All,$,130000000,9762000000
Exports,2015,14/03/2015,Saturday,All,All,All,$,100000000,9863000000
Exports,2015,15/03/2015,Sunday,All,All,All,$,133000000,9996000000
Exports,2015,16/03/2015,Monday,All,All,All,$,213000000,10210000000
Exports,2015,17/03/2015,Tuesday,All,All,All,$,109000000,10318000000
Exports,2015,18/03/2015,Wednesday,All,All,All,$,116000000,10435000000
Exports,2015,19/03/2015,Thursday,All,All,All,$,164000000,10598000000
Exports,2015,20/03/2015,Friday,All,All,All,$,131000000,10729000000
Exports,2015,21/03/2015,Saturday,All,All,All,$,197000000,10927000000
Exports,2015,22/03/2015,Sunday,All,All,All,$,146000000,11073000000
Exports,2015,23/03/2015,Monday,All,All,All,$,175000000,11247000000
Exports,2015,24/03/2015,Tuesday,All,All,All,$,130000000,11377000000
Exports,2015,25/03/2015,Wednesday,All,All,All,$,74000000,11452000000
Exports,2015,26/03/2015,Thursday,All,All,All,$,219000000,11671000000
Exports,2015,27/03/2015,Friday,All,All,All,$,117000000,11787000000
Exports,2015,28/03/2015,Saturday,All,All,All,$,165000000,11952000000
Exports,2015,29/03/2015,Sunday,All,All,All,$,140000000,12092000000
Exports,2015,30/03/2015,Monday,All,All,All,$,220000000,12312000000
Exports,2015,31/03/2015,Tuesday,All,All,All,$,161000000,12473000000
Exports,2015,01/04/2015,Wednesday,All,All,All,$,82000000,12555000000
Exports,2015,02/04/2015,Thursday,All,All,All,$,137000000,12692000000
Exports,2015,03/04/2015,Friday,All,All,All,$,158000000,12850000000
Exports,2015,04/04/2015,Saturday,All,All,All,$,192000000,13042000000
Exports,2015,05/04/2015,Sunday,All,All,All,$,153000000,13195000000
Exports,2015,06/04/2015,Monday,All,All,All,$,206000000,13401000000
Exports,2015,07/04/2015,Tuesday,All,All,All,$,108000000,13509000000
Exports,2015,08/04/2015,Wednesday,All,All,All,$,81000000,13590000000
Exports,2015,09/04/2015,Thursday,All,All,All,$,121000000,13712000000
Exports,2015,10/04/2015,Friday,All,All,All,$,126000000,13837000000
Exports,2015,11/04/2015,Saturday,All,All,All,$,175000000,14012000000
Exports,2015,12/04/2015,Sunday,All,All,All,$,115000000,14127000000
Exports,2015,13/04/2015,Monday,All,All,All,$,203000000,14330000000
Exports,2015,14/04/2015,Tuesday,All,All,All,$,73000000,14404000000
Exports,2015,15/04/2015,Wednesday,All,All,All,$,91000000,14495000000
Exports,2015,16/04/2015,Thursday,All,All,All,$,179000000,14674000000
Exports,2015,17/04/2015,Friday,All,All,All,$,122000000,14796000000
Exports,2015,18/04/2015,Saturday,All,All,All,$,100000000,14895000000
Exports,2015,19/04/2015,Sunday,All,All,All,$,146000000,15041000000
Exports,2015,20/04/2015,Monday,All,All,All,$,184000000,15225000000
Exports,2015,21/04/2015,Tuesday,All,All,All,$,171000000,15395000000
Exports,2015,22/04/2015,Wednesday,All,All,All,$,119000000,15515000000
Exports,2015,23/04/2015,Thursday,All,All,All,$,123000000,15637000000
Exports,2015,24/04/2015,Friday,All,All,All,$,154000000,15791000000
Exports,2015,25/04/2015,Saturday,All,All,All,$,195000000,15986000000
Exports,2015,26/04/2015,Sunday,All,All,All,$,136000000,16122000000
Exports,2015,27/04/2015,Monday,All,All,All,$,189000000,16311000000
Exports,2015,28/04/2015,Tuesday,All,All,All,$,78000000,16389000000
Exports,2015,29/04/2015,Wednesday,All,All,All,$,80000000,16468000000
Exports,2015,30/04/2015,Thursday,All,All,All,$,139000000,16607000000
Exports,2015,01/05/2015,Friday,All,All,All,$,121000000,16728000000
Exports,2015,02/05/2015,Saturday,All,All,All,$,187000000,16915000000
Exports,2015,03/05/2015,Sunday,All,All,All,$,165000000,17080000000
Exports,2015,04/05/2015,Monday,All,All,All,$,152000000,17232000000
Exports,2015,05/05/2015,Tuesday,All,All,All,$,111000000,17343000000
Exports,2015,06/05/2015,Wednesday,All,All,All,$,81000000,17424000000
Exports,2015,07/05/2015,Thursday,All,All,All,$,98000000,17522000000
Exports,2015,08/05/2015,Friday,All,All,All,$,199000000,17721000000
Exports,2015,09/05/2015,Saturday,All,All,All,$,101000000,17821000000
Exports,2015,10/05/2015,Sunday,All,All,All,$,157000000,17978000000
Exports,2015,11/05/2015,Monday,All,All,All,$,130000000,18108000000
Exports,2015,12/05/2015,Tuesday,All,All,All,$,119000000,18227000000
Exports,2015,13/05/2015,Wednesday,All,All,All,$,75000000,18301000000
Exports,2015,14/05/2015,Thursday,All,All,All,$,166000000,18467000000
Exports,2015,15/05/2015,Friday,All,All,All,$,191000000,18658000000
Exports,2015,16/05/2015,Saturday,All,All,All,$,182000000,18841000000
Exports,2015,17/05/2015,Sunday,All,All,All,$,124000000,18964000000
Exports,2015,18/05/2015,Monday,All,All,All,$,180000000,19144000000
Exports,2015,19/05/2015,Tuesday,All,All,All,$,91000000,19236000000
Exports,2015,20/05/2015,Wednesday,All,All,All,$,111000000,19347000000
Exports,2015,21/05/2015,Thursday,All,All,All,$,137000000,19484000000
Exports,2015,22/05/2015,Friday,All,All,All,$,200000000,19683000000
Exports,2015,23/05/2015,Saturday,All,All,All,$,97000000,19780000000
Exports,2015,24/05/2015,Sunday,All,All,All,$,157000000,19937000000
Exports,2015,25/05/2015,Monday,All,All,All,$,146000000,20084000000
Exports,2015,26/05/2015,Tuesday,All,All,All,$,124000000,20207000000
Exports,2015,27/05/2015,Wednesday,All,All,All,$,76000000,20283000000
Exports,2015,28/05/2015,Thursday,All,All,All,$,136000000,20420000000
Exports,2015,29/05/2015,Friday,All,All,All,$,158000000,20578000000
Exports,2015,30/05/2015,Saturday,All,All,All,$,197000000,20775000000
Exports,2015,31/05/2015,Sunday,All,All,All,$,186000000,20961000000
Exports,2015,01/06/2015,Monday,All,All,All,$,164000000,21125000000
Exports,2015,02/06/2015,Tuesday,All,All,All,$,128000000,21253000000
Exports,2015,03/06/2015,Wednesday,All,All,All,$,61000000,21314000000
Exports,2015,04/06/2015,Thursday,All,All,All,$,114000000,21428000000
Exports,2015,05/06/2015,Friday,All,All,All,$,168000000,21596000000
Exports,2015,06/06/2015,Saturday,All,All,All,$,83000000,21679000000
Exports,2015,07/06/2015,Sunday,All,All,All,$,161000000,21840000000
Exports,2015,08/06/2015,Monday,All,All,All,$,188000000,22028000000
Exports,2015,09/06/2015,Tuesday,All,All,All,$,93000000,22121000000
Exports,2015,10/06/2015,Wednesday,All,All,All,$,70000000,22191000000
Exports,2015,11/06/2015,Thursday,All,All,All,$,162000000,22353000000
Exports,2015,12/06/2015,Friday,All,All,All,$,119000000,22472000000
Exports,2015,13/06/2015,Saturday,All,All,All,$,109000000,22581000000
Exports,2015,14/06/2015,Sunday,All,All,All,$,108000000,22689000000
Exports,2015,15/06/2015,Monday,All,All,All,$,217000000,22906000000
Exports,2015,16/06/2015,Tuesday,All,All,All,$,104000000,23010000000
Exports,2015,17/06/2015,Wednesday,All,All,All,$,173000000,23183000000
Exports,2015,18/06/2015,Thursday,All,All,All,$,144000000,23327000000
Exports,2015,19/06/2015,Friday,All,All,All,$,209000000,23535000000
Exports,2015,20/06/2015,Saturday,All,All,All,$,102000000,23638000000
Exports,2015,21/06/2015,Sunday,All,All,All,$,174000000,23812000000
Exports,2015,22/06/2015,Monday,All,All,All,$,219000000,24031000000
Exports,2015,23/06/2015,Tuesday,All,All,All,$,103000000,24134000000
Exports,2015,24/06/2015,Wednesday,All,All,All,$,79000000,24212000000
Exports,2015,25/06/2015,Thursday,All,All,All,$,145000000,24357000000
Exports,2015,26/06/2015,Friday,All,All,All,$,144000000,24502000000
Exports,2015,27/06/2015,Saturday,All,All,All,$,93000000,24594000000
Exports,2015,28/06/2015,Sunday,All,All,All,$,110000000,24705000000
Exports,2015,29/06/2015,Monday,All,All,All,$,249000000,24954000000
Exports,2015,30/06/2015,Tuesday,All,All,All,$,155000000,25109000000
Exports,2015,01/07/2015,Wednesday,All,All,All,$,82000000,25191000000
Exports,2015,02/07/2015,Thursday,All,All,All,$,109000000,25300000000
Exports,2015,03/07/2015,Friday,All,All,All,$,139000000,25439000000
Exports,2015,04/07/2015,Saturday,All,All,All,$,117000000,25556000000
Exports,2015,05/07/2015,Sunday,All,All,All,$,113000000,25669000000
Exports,2015,06/07/2015,Monday,All,All,All,$,184000000,25854000000
Exports,2015,07/07/2015,Tuesday,All,All,All,$,86000000,25940000000
Exports,2015,08/07/2015,Wednesday,All,All,All,$,149000000,26089000000
Exports,2015,09/07/2015,Thursday,All,All,All,$,146000000,26235000000
Exports,2015,10/07/2015,Friday,All,All,All,$,164000000,26399000000
Exports,2015,11/07/2015,Saturday,All,All,All,$,133000000,26532000000
Exports,2015,12/07/2015,Sunday,All,All,All,$,96000000,26628000000
Exports,2015,13/07/2015,Monday,All,All,All,$,246000000,26873000000
Exports,2015,14/07/2015,Tuesday,All,All,All,$,113000000,26986000000
Exports,2015,15/07/2015,Wednesday,All,All,All,$,63000000,27049000000
Exports,2015,16/07/2015,Thursday,All,All,All,$,127000000,27176000000
Exports,2015,17/07/2015,Friday,All,All,All,$,136000000,27312000000
Exports,2015,18/07/2015,Saturday,All,All,All,$,147000000,27459000000
Exports,2015,19/07/2015,Sunday,All,All,All,$,118000000,27576000000
Exports,2015,20/07/2015,Monday,All,All,All,$,222000000,27798000000
Exports,2015,21/07/2015,Tuesday,All,All,All,$,98000000,27896000000
Exports,2015,22/07/2015,Wednesday,All,All,All,$,134000000,28031000000
Exports,2015,23/07/2015,Thursday,All,All,All,$,128000000,28159000000
Exports,2015,24/07/2015,Friday,All,All,All,$,161000000,28319000000
Exports,2015,25/07/2015,Saturday,All,All,All,$,102000000,28421000000
Exports,2015,26/07/2015,Sunday,All,All,All,$,109000000,28530000000
Exports,2015,27/07/2015,Monday,All,All,All,$,211000000,28741000000
Exports,2015,28/07/2015,Tuesday,All,All,All,$,98000000,28840000000
Exports,2015,29/07/2015,Wednesday,All,All,All,$,85000000,28924000000
Exports,2015,30/07/2015,Thursday,All,All,All,$,173000000,29098000000
Exports,2015,31/07/2015,Friday,All,All,All,$,180000000,29278000000
Exports,2015,01/08/2015,Saturday,All,All,All,$,128000000,29405000000
Exports,2015,02/08/2015,Sunday,All,All,All,$,94000000,29499000000
Exports,2015,03/08/2015,Monday,All,All,All,$,203000000,29702000000
Exports,2015,04/08/2015,Tuesday,All,All,All,$,118000000,29820000000
Exports,2015,05/08/2015,Wednesday,All,All,All,$,69000000,29889000000
Exports,2015,06/08/2015,Thursday,All,All,All,$,113000000,30001000000
Exports,2015,07/08/2015,Friday,All,All,All,$,140000000,30141000000
Exports,2015,08/08/2015,Saturday,All,All,All,$,79000000,30220000000
Exports,2015,09/08/2015,Sunday,All,All,All,$,123000000,30343000000
Exports,2015,10/08/2015,Monday,All,All,All,$,174000000,30517000000
Exports,2015,11/08/2015,Tuesday,All,All,All,$,113000000,30629000000
Exports,2015,12/08/2015,Wednesday,All,All,All,$,87000000,30717000000
Exports,2015,13/08/2015,Thursday,All,All,All,$,104000000,30821000000
Exports,2015,14/08/2015,Friday,All,All,All,$,147000000,30967000000
Exports,2015,15/08/2015,Saturday,All,All,All,$,71000000,31038000000
Exports,2015,16/08/2015,Sunday,All,All,All,$,85000000,31123000000
Exports,2015,17/08/2015,Monday,All,All,All,$,171000000,31294000000
Exports,2015,18/08/2015,Tuesday,All,All,All,$,81000000,31376000000
Exports,2015,19/08/2015,Wednesday,All,All,All,$,132000000,31507000000
Exports,2015,20/08/2015,Thursday,All,All,All,$,127000000,31634000000
Exports,2015,21/08/2015,Friday,All,All,All,$,122000000,31756000000
Exports,2015,22/08/2015,Saturday,All,All,All,$,81000000,31838000000
Exports,2015,23/08/2015,Sunday,All,All,All,$,147000000,31984000000
Exports,2015,24/08/2015,Monday,All,All,All,$,173000000,32158000000
Exports,2015,25/08/2015,Tuesday,All,All,All,$,58000000,32216000000
Exports,2015,26/08/2015,Wednesday,All,All,All,$,64000000,32280000000
Exports,2015,27/08/2015,Thursday,All,All,All,$,142000000,32422000000
Exports,2015,28/08/2015,Friday,All,All,All,$,130000000,32553000000
Exports,2015,29/08/2015,Saturday,All,All,All,$,110000000,32663000000
Exports,2015,30/08/2015,Sunday,All,All,All,$,124000000,32787000000
Exports,2015,31/08/2015,Monday,All,All,All,$,201000000,32988000000
Exports,2015,01/09/2015,Tuesday,All,All,All,$,105000000,33093000000
Exports,2015,02/09/2015,Wednesday,All,All,All,$,92000000,33185000000
Exports,2015,03/09/2015,Thursday,All,All,All,$,156000000,33341000000
Exports,2015,04/09/2015,Friday,All,All,All,$,95000000,33436000000
Exports,2015,05/09/2015,Saturday,All,All,All,$,90000000,33527000000
Exports,2015,06/09/2015,Sunday,All,All,All,$,107000000,33634000000
Exports,2015,07/09/2015,Monday,All,All,All,$,163000000,33797000000
Exports,2015,08/09/2015,Tuesday,All,All,All,$,92000000,33889000000
Exports,2015,09/09/2015,Wednesday,All,All,All,$,74000000,33964000000
Exports,2015,10/09/2015,Thursday,All,All,All,$,127000000,34091000000
Exports,2015,11/09/2015,Friday,All,All,All,$,112000000,34203000000
Exports,2015,12/09/2015,Saturday,All,All,All,$,100000000,34303000000
Exports,2015,13/09/2015,Sunday,All,All,All,$,111000000,34414000000
Exports,2015,14/09/2015,Monday,All,All,All,$,185000000,34599000000
Exports,2015,15/09/2015,Tuesday,All,All,All,$,110000000,34709000000
Exports,2015,16/09/2015,Wednesday,All,All,All,$,107000000,34816000000
Exports,2015,17/09/2015,Thursday,All,All,All,$,148000000,34963000000
Exports,2015,18/09/2015,Friday,All,All,All,$,190000000,35154000000
Exports,2015,19/09/2015,Saturday,All,All,All,$,124000000,35278000000
Exports,2015,20/09/2015,Sunday,All,All,All,$,81000000,35358000000
Exports,2015,21/09/2015,Monday,All,All,All,$,177000000,35535000000
Exports,2015,22/09/2015,Tuesday,All,All,All,$,112000000,35647000000
Exports,2015,23/09/2015,Wednesday,All,All,All,$,74000000,35721000000
Exports,2015,24/09/2015,Thursday,All,All,All,$,136000000,35858000000
Exports,2015,25/09/2015,Friday,All,All,All,$,136000000,35993000000
Exports,2015,26/09/2015,Saturday,All,All,All,$,132000000,36126000000
Exports,2015,27/09/2015,Sunday,All,All,All,$,120000000,36245000000
Exports,2015,28/09/2015,Monday,All,All,All,$,185000000,36430000000
Exports,2015,29/09/2015,Tuesday,All,All,All,$,108000000,36538000000
Exports,2015,30/09/2015,Wednesday,All,All,All,$,127000000,36665000000
Exports,2015,01/10/2015,Thursday,All,All,All,$,161000000,36825000000
Exports,2015,02/10/2015,Friday,All,All,All,$,129000000,36954000000
Exports,2015,03/10/2015,Saturday,All,All,All,$,89000000,37043000000
Exports,2015,04/10/2015,Sunday,All,All,All,$,100000000,37143000000
Exports,2015,05/10/2015,Monday,All,All,All,$,168000000,37311000000
Exports,2015,06/10/2015,Tuesday,All,All,All,$,90000000,37401000000
Exports,2015,07/10/2015,Wednesday,All,All,All,$,87000000,37488000000
Exports,2015,08/10/2015,Thursday,All,All,All,$,113000000,37601000000
Exports,2015,09/10/2015,Friday,All,All,All,$,135000000,37736000000
Exports,2015,10/10/2015,Saturday,All,All,All,$,112000000,37848000000
Exports,2015,11/10/2015,Sunday,All,All,All,$,86000000,37934000000
Exports,2015,12/10/2015,Monday,All,All,All,$,178000000,38112000000
Exports,2015,13/10/2015,Tuesday,All,All,All,$,131000000,38243000000
Exports,2015,14/10/2015,Wednesday,All,All,All,$,73000000,38316000000
Exports,2015,15/10/2015,Thursday,All,All,All,$,122000000,38438000000
Exports,2015,16/10/2015,Friday,All,All,All,$,132000000,38570000000
Exports,2015,17/10/2015,Saturday,All,All,All,$,102000000,38672000000
Exports,2015,18/10/2015,Sunday,All,All,All,$,109000000,38781000000
Exports,2015,19/10/2015,Monday,All,All,All,$,172000000,38954000000
Exports,2015,20/10/2015,Tuesday,All,All,All,$,101000000,39054000000
Exports,2015,21/10/2015,Wednesday,All,All,All,$,74000000,39128000000
Exports,2015,22/10/2015,Thursday,All,All,All,$,110000000,39238000000
Exports,2015,23/10/2015,Friday,All,All,All,$,157000000,39395000000
Exports,2015,24/10/2015,Saturday,All,All,All,$,190000000,39585000000
Exports,2015,25/10/2015,Sunday,All,All,All,$,120000000,39705000000
Exports,2015,26/10/2015,Monday,All,All,All,$,146000000,39851000000
Exports,2015,27/10/2015,Tuesday,All,All,All,$,147000000,39998000000
Exports,2015,28/10/2015,Wednesday,All,All,All,$,86000000,40084000000
Exports,2015,29/10/2015,Thursday,All,All,All,$,138000000,40222000000
Exports,2015,30/10/2015,Friday,All,All,All,$,149000000,40371000000
Exports,2015,31/10/2015,Saturday,All,All,All,$,105000000,40476000000
Exports,2015,01/11/2015,Sunday,All,All,All,$,89000000,40566000000
Exports,2015,02/11/2015,Monday,All,All,All,$,153000000,40719000000
Exports,2015,03/11/2015,Tuesday,All,All,All,$,77000000,40796000000
Exports,2015,04/11/2015,Wednesday,All,All,All,$,69000000,40865000000
Exports,2015,05/11/2015,Thursday,All,All,All,$,117000000,40982000000
Exports,2015,06/11/2015,Friday,All,All,All,$,126000000,41108000000
Exports,2015,07/11/2015,Saturday,All,All,All,$,232000000,41340000000
Exports,2015,08/11/2015,Sunday,All,All,All,$,130000000,41470000000
Exports,2015,09/11/2015,Monday,All,All,All,$,170000000,41640000000
Exports,2015,10/11/2015,Tuesday,All,All,All,$,88000000,41728000000
Exports,2015,11/11/2015,Wednesday,All,All,All,$,64000000,41792000000
Exports,2015,12/11/2015,Thursday,All,All,All,$,100000000,41892000000
Exports,2015,13/11/2015,Friday,All,All,All,$,152000000,42044000000
Exports,2015,14/11/2015,Saturday,All,All,All,$,94000000,42138000000
Exports,2015,15/11/2015,Sunday,All,All,All,$,105000000,42242000000
Exports,2015,16/11/2015,Monday,All,All,All,$,193000000,42435000000
Exports,2015,17/11/2015,Tuesday,All,All,All,$,95000000,42530000000
Exports,2015,18/11/2015,Wednesday,All,All,All,$,54000000,42584000000
Exports,2015,19/11/2015,Thursday,All,All,All,$,116000000,42700000000
Exports,2015,20/11/2015,Friday,All,All,All,$,128000000,42828000000
Exports,2015,21/11/2015,Saturday,All,All,All,$,227000000,43055000000
Exports,2015,22/11/2015,Sunday,All,All,All,$,165000000,43220000000
Exports,2015,23/11/2015,Monday,All,All,All,$,187000000,43408000000
Exports,2015,24/11/2015,Tuesday,All,All,All,$,146000000,43553000000
Exports,2015,25/11/2015,Wednesday,All,All,All,$,67000000,43620000000
Exports,2015,26/11/2015,Thursday,All,All,All,$,124000000,43744000000
Exports,2015,27/11/2015,Friday,All,All,All,$,170000000,43915000000
Exports,2015,28/11/2015,Saturday,All,All,All,$,236000000,44150000000
Exports,2015,29/11/2015,Sunday,All,All,All,$,152000000,44302000000
Exports,2015,30/11/2015,Monday,All,All,All,$,248000000,44551000000
Exports,2015,01/12/2015,Tuesday,All,All,All,$,104000000,44655000000
Exports,2015,02/12/2015,Wednesday,All,All,All,$,63000000,44717000000
Exports,2015,03/12/2015,Thursday,All,All,All,$,113000000,44830000000
Exports,2015,04/12/2015,Friday,All,All,All,$,157000000,44987000000
Exports,2015,05/12/2015,Saturday,All,All,All,$,241000000,45229000000
Exports,2015,06/12/2015,Sunday,All,All,All,$,129000000,45358000000
Exports,2015,07/12/2015,Monday,All,All,All,$,210000000,45569000000
Exports,2015,08/12/2015,Tuesday,All,All,All,$,119000000,45687000000
Exports,2015,09/12/2015,Wednesday,All,All,All,$,77000000,45764000000
Exports,2015,10/12/2015,Thursday,All,All,All,$,99000000,45863000000
Exports,2015,11/12/2015,Friday,All,All,All,$,127000000,45990000000
Exports,2015,12/12/2015,Saturday,All,All,All,$,249000000,46239000000
Exports,2015,13/12/2015,Sunday,All,All,All,$,145000000,46384000000
Exports,2015,14/12/2015,Monday,All,All,All,$,235000000,46619000000
Exports,2015,15/12/2015,Tuesday,All,All,All,$,73000000,46692000000
Exports,2015,16/12/2015,Wednesday,All,All,All,$,57000000,46749000000
Exports,2015,17/12/2015,Thursday,All,All,All,$,105000000,46854000000
Exports,2015,18/12/2015,Friday,All,All,All,$,253000000,47107000000
Exports,2015,19/12/2015,Saturday,All,All,All,$,210000000,47317000000
Exports,2015,20/12/2015,Sunday,All,All,All,$,168000000,47485000000
Exports,2015,21/12/2015,Monday,All,All,All,$,246000000,47731000000
Exports,2015,22/12/2015,Tuesday,All,All,All,$,89000000,47820000000
Exports,2015,23/12/2015,Wednesday,All,All,All,$,81000000,47901000000
Exports,2015,24/12/2015,Thursday,All,All,All,$,154000000,48054000000
Exports,2015,25/12/2015,Friday,All,All,All,$,113000000,48167000000
Exports,2015,26/12/2015,Saturday,All,All,All,$,163000000,48330000000
Exports,2015,27/12/2015,Sunday,All,All,All,$,172000000,48502000000
Exports,2015,28/12/2015,Monday,All,All,All,$,204000000,48706000000
Exports,2015,29/12/2015,Tuesday,All,All,All,$,89000000,48795000000
Exports,2015,30/12/2015,Wednesday,All,All,All,$,62000000,48857000000
Exports,2015,31/12/2015,Thursday,All,All,All,$,116000000,48974000000
Exports,2015,01/01/2015,Thursday,China,All,All,$,20000000,20000000
Exports,2015,02/01/2015,Friday,China,All,All,$,20000000,40000000
Exports,2015,03/01/2015,Saturday,China,All,All,$,11000000,51000000
Exports,2015,04/01/2015,Sunday,China,All,All,$,8000000,59000000
Exports,2015,05/01/2015,Monday,China,All,All,$,16000000,76000000
Exports,2015,06/01/2015,Tuesday,China,All,All,$,6000000,81000000
Exports,2015,07/01/2015,Wednesday,China,All,All,$,5000000,87000000
Exports,2015,08/01/2015,Thursday,China,All,All,$,19000000,105000000
Exports,2015,09/01/2015,Friday,China,All,All,$,31000000,136000000
Exports,2015,10/01/2015,Saturday,China,All,All,$,15000000,152000000
Exports,2015,11/01/2015,Sunday,China,All,All,$,18000000,169000000
Exports,2015,12/01/2015,Monday,China,All,All,$,24000000,193000000
Exports,2015,13/01/2015,Tuesday,China,All,All,$,14000000,207000000
Exports,2015,14/01/2015,Wednesday,China,All,All,$,14000000,221000000
Exports,2015,15/01/2015,Thursday,China,All,All,$,17000000,238000000
Exports,2015,16/01/2015,Friday,China,All,All,$,40000000,278000000
Exports,2015,17/01/2015,Saturday,China,All,All,$,23000000,301000000
Exports,2015,18/01/2015,Sunday,China,All,All,$,13000000,313000000
Exports,2015,19/01/2015,Monday,China,All,All,$,36000000,349000000
Exports,2015,20/01/2015,Tuesday,China,All,All,$,14000000,364000000
Exports,2015,21/01/2015,Wednesday,China,All,All,$,5000000,369000000
Exports,2015,22/01/2015,Thursday,China,All,All,$,18000000,387000000
